								
N	Word	Freq.	%	Texts	%	Dispersion	Lemmas	Set
117	CONCESIÓN	238	0,10	n/a	n/a	n/a	CONCESIÓN[225] CONCESIONES[13]	
118	ECONÓMICO	238	0,10	n/a	n/a	n/a	ECONÓMICO[85] ECONÓMICA[27] ECONÓMICAS[12] ECONÓMICOS[114]	
119	ESTABLECIDO	237	0,09	19	67,86	0,81		
120	EXPEDIENTAR	237	0,09	n/a	n/a	n/a	EXPEDIENTAR[0] EXPEDIENTADO[7] EXPEDIENTE[186] EXPEDIENTES[44]	
121	PREVISTOS	234	0,09	18	64,29	0,75		
122	PREVIO	233	0,09	n/a	n/a	n/a	PREVIO[83] PREVIA[125] PREVIAS[9] PREVIOS[16]	
123	SUPUESTOS	233	0,09	18	64,29	0,77		
124	RÉGIMEN	232	0,09	n/a	n/a	n/a	RÉGIMEN[229] REGÍMENES[3]	
125	DÍAS	230	0,09	19	67,86	0,74		
126	TARJETA	227	0,09	n/a	n/a	n/a	TARJETA[203] TARJETAS[24]	
127	DOCUMENTAR	226	0,09	n/a	n/a	n/a	DOCUMENTAR[2] DOCUMENTA[6] DOCUMENTADA[1] DOCUMENTADAS[1] DOCUMENTADO[8] DOCUMENTADOS[5] DOCUMENTARÁ[2] DOCUMENTE[1] DOCUMENTO[200]	
128	DOCUMENTACIÓN	225	0,09	20	71,43	0,71		
129	MENORES	225	0,09	16	57,14	0,71		
130	PERSONAL	225	0,09	n/a	n/a	n/a	PERSONAL[180] PERSONALES[45]	
131	AUTORIZAR	223	0,09	n/a	n/a	n/a	AUTORIZAR[34] AUTORICE[14] AUTORICEN[1] AUTORIZA[18] AUTORIZADA[26] AUTORIZADAS[25] AUTORIZADO[54] AUTORIZADOS[20] AUTORIZARÁ[18] AUTORIZARÁN[3] AUTORIZASE[1] AUTORIZÓ[9]	
132	CIRCUNSTANCIAS	223	0,09	14	50,00	0,77		
133	DICHA	223	0,09	19	67,86	0,77		
